Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.640V
Average			  :,V=3.375V
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,40.00uS

index,CH1_Voltage(mV)
436,4480.00
437,4480.00
438,4560.00
439,4560.00
440,4560.00
441,4480.00
442,4560.00
443,4560.00
444,4480.00
445,4560.00
446,4560.00
447,4560.00
448,4560.00
449,4480.00
450,4480.00
451,4480.00
452,4480.00
453,4560.00
454,4560.00
455,4480.00
456,4480.00
457,4560.00
458,4560.00
459,4560.00
460,4560.00
461,4560.00
462,4560.00
463,4560.00
464,4480.00
465,4560.00
466,4560.00
467,4480.00
468,4560.00
469,4480.00
470,4560.00
471,4480.00
472,4560.00
473,4560.00
474,4560.00
475,4560.00
476,4480.00
477,4640.00
478,4480.00
479,4560.00
480,4480.00
481,4560.00
482,4480.00
483,4480.00
484,4560.00
485,4480.00
486,4560.00
487,4480.00
488,4560.00
489,4560.00
490,4560.00
491,4480.00
492,4480.00
493,4560.00
494,4480.00
495,4560.00
496,4480.00
497,4480.00
498,4560.00
499,4560.00
500,4560.00
501,4560.00
502,4480.00
503,4560.00
504,4560.00
505,4560.00
506,4560.00
507,4560.00
508,4560.00
509,4560.00
510,4560.00
511,4560.00
512,4560.00
513,4560.00
514,4560.00
515,4560.00
516,4480.00
517,4560.00
518,4560.00
519,4480.00
520,4560.00
521,4480.00
522,4560.00
523,4480.00
524,4560.00
525,4560.00
526,4560.00
527,4480.00
528,4480.00
529,4480.00
530,4560.00
531,4560.00
532,4480.00
533,4560.00
534,4480.00
535,4560.00
536,4560.00
537,4480.00
538,4480.00
539,4560.00
540,4560.00
541,4560.00
542,4560.00
543,4560.00
544,4480.00
545,4480.00
546,4560.00
547,4560.00
548,4560.00
549,4560.00
550,4480.00
551,4560.00
552,4560.00
553,4560.00
554,4560.00
555,4560.00
556,4480.00
557,4480.00
558,4560.00
559,4560.00
560,4560.00
561,4480.00
562,4560.00
563,4560.00
564,4480.00
565,4560.00
566,4560.00
567,4560.00
568,4560.00
569,4560.00
570,4560.00
571,4480.00
572,4480.00
573,4480.00
574,4560.00
575,4480.00
576,4560.00
577,4640.00
578,4560.00
579,4560.00
580,4480.00
581,4480.00
582,4480.00
583,4560.00
584,4560.00
585,4480.00
586,4480.00
587,4560.00
588,4480.00
589,4480.00
590,4480.00
591,4560.00
592,4560.00
593,4560.00
594,4560.00
595,4560.00
596,4560.00
597,4480.00
598,4480.00
599,4480.00
600,4480.00
601,4480.00
602,4560.00
603,4480.00
604,4480.00
605,4480.00
606,4560.00
607,4480.00
608,4480.00
609,4560.00
610,4560.00
611,4560.00
612,4480.00
613,4480.00
614,4560.00
